1 : Stock
2 : Waste => Table 1
3 : Waste => Table 2
4 : Waste => Table 3
5 : Waste => Table 4
6 : Waste => Table 5
7 : Waste => Table 6
8 : Waste => Table 7
9 : Foundation 1 => Table 1
193 : Table 3 (0) => Table 1
194 : Table 3 (1) => Table 1
195 : Table 3 (2) => Table 1
196 : Table 3 (3) => Table 1
197 : Table 3 (4) => Table 1
198 : Table 3 (5) => Table 1
199 : Table 3 (6) => Table 1
200 : Table 3 (7) => Table 1
201 : Table 3 (8) => Table 1
202 : Table 3 (9) => Table 1
203 : Table 3 (10) => Table 1
204 : Table 3 (11) => Table 1
205 : Table 3 (12) => Table 1
206 : Table 3 (0) => Table 2
207 : Table 3 (1) => Table 2
208 : Table 3 (2) => Table 2
209 : Table 3 (3) => Table 2
210 : Table 3 (4) => Table 2
211 : Table 3 (5) => Table 2
212 : Table 3 (6) => Table 2
213 : Table 3 (7) => Table 2
214 : Table 3 (8) => Table 2
215 : Table 3 (9) => Table 2
216 : Table 3 (10) => Table 2
217 : Table 3 (11) => Table 2
218 : Table 3 (12) => Table 2
219 : Table 3 (0) => Table 4
220 : Table 3 (1) => Table 4
221 : Table 3 (2) => Table 4
222 : Table 3 (3) => Table 4
223 : Table 3 (4) => Table 4
224 : Table 3 (5) => Table 4
225 : Table 3 (6) => Table 4
226 : Table 3 (7) => Table 4
227 : Table 3 (8) => Table 4
228 : Table 3 (9) => Table 4
229 : Table 3 (10) => Table 4
230 : Table 3 (11) => Table 4
231 : Table 3 (12) => Table 4
232 : Table 3 (0) => Table 5
233 : Table 3 (1) => Table 5
234 : Table 3 (2) => Table 5
235 : Table 3 (3) => Table 5
236 : Table 3 (4) => Table 5
237 : Table 3 (5) => Table 5
238 : Table 3 (6) => Table 5
239 : Table 3 (7) => Table 5
240 : Table 3 (8) => Table 5
241 : Table 3 (9) => Table 5
242 : Table 3 (10) => Table 5
243 : Table 3 (11) => Table 5
244 : Table 3 (12) => Table 5
245 : Table 3 (0) => Table 6
246 : Table 3 (1) => Table 6
247 : Table 3 (2) => Table 6
248 : Table 3 (3) => Table 6
249 : Table 3 (4) => Table 6
250 : Table 3 (5) => Table 6
251 : Table 3 (6) => Table 6
252 : Table 3 (7) => Table 6
253 : Table 3 (8) => Table 6
254 : Table 3 (9) => Table 6
255 : Table 3 (10) => Table 6
256 : Table 3 (11) => Table 6
257 : Table 3 (12) => Table 6
258 : Table 3 (0) => Table 7
259 : Table 3 (1) => Table 7
260 : Table 3 (2) => Table 7
261 : Table 3 (3) => Table 7
262 : Table 3 (4) => Table 7
263 : Table 3 (5) => Table 7
264 : Table 3 (6) => Table 7
265 : Table 3 (7) => Table 7
266 : Table 3 (8) => Table 7
267 : Table 3 (9) => Table 7
268 : Table 3 (10) => Table 7
269 : Table 3 (11) => Table 7
270 : Table 3 (12) => Table 7
271 : Table 4 (0) => Table 1
272 : Table 4 (1) => Table 1
273 : Table 4 (2) => Table 1
274 : Table 4 (3) => Table 1
275 : Table 4 (4) => Table 1
276 : Table 4 (5) => Table 1
277 : Table 4 (6) => Table 1
278 : Table 4 (7) => Table 1
279 : Table 4 (8) => Table 1
280 : Table 4 (9) => Table 1
281 : Table 4 (10) => Table 1
282 : Table 4 (11) => Table 1
283 : Table 4 (12) => Table 1
284 : Table 4 (0) => Table 2
285 : Table 4 (1) => Table 2
286 : Table 4 (2) => Table 2
287 : Table 4 (3) => Table 2
288 : Table 4 (4) => Table 2
289 : Table 4 (5) => Table 2
290 : Table 4 (6) => Table 2
291 : Table 4 (7) => Table 2
292 : Table 4 (8) => Table 2
293 : Table 4 (9) => Table 2
294 : Table 4 (10) => Table 2
295 : Table 4 (11) => Table 2
296 : Table 4 (12) => Table 2
297 : Table 4 (0) => Table 3
298 : Table 4 (1) => Table 3
299 : Table 4 (2) => Table 3
300 : Table 4 (3) => Table 3
301 : Table 4 (4) => Table 3
302 : Table 4 (5) => Table 3
303 : Table 4 (6) => Table 3
304 : Table 4 (7) => Table 3
305 : Table 4 (8) => Table 3
306 : Table 4 (9) => Table 3
307 : Table 4 (10) => Table 3
308 : Table 4 (11) => Table 3
309 : Table 4 (12) => Table 3
310 : Table 4 (0) => Table 5
311 : Table 4 (1) => Table 5
312 : Table 4 (2) => Table 5
313 : Table 4 (3) => Table 5
314 : Table 4 (4) => Table 5
315 : Table 4 (5) => Table 5
316 : Table 4 (6) => Table 5
317 : Table 4 (7) => Table 5
